,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
4,466.6684203,0.739244491,0.752534923,0.739240481,0.724945869,accuracy,Random Forest,RFE Sets,multiclass
5,148.3080764,0.741151585,0.758319749,0.741147357,0.7251541,accuracy,Random Forest,RFE Sets,multiclass
fold average,338.591176,0.740032745,0.75603037,0.740032878,0.725070506,accuracy,Random Forest,RFE Sets,multiclass
1,292.0128434,0.714038258,0.727599647,0.714042762,0.695252164,accuracy,Random Forest,PCA,multiclass
2,176.7744946,0.718449674,0.730505611,0.718453972,0.700463352,accuracy,Random Forest,PCA,multiclass
3,291.4727883,0.721256183,0.734739066,0.721256161,0.703714796,accuracy,Random Forest,PCA,multiclass
4,255.0511334,0.727510452,0.747248551,0.727506148,0.710640314,accuracy,Random Forest,PCA,multiclass
5,311.4762266,0.723204917,0.739302434,0.723200676,0.705061692,accuracy,Random Forest,PCA,multiclass
fold average,265.3574973,0.720891897,0.735879062,0.720891944,0.703026464,accuracy,Random Forest,PCA,multiclass
1,118.1104558,0.708625155,0.727351386,0.708630902,0.689325406,accuracy,XGBoost,All,multiclass
2,355.9843159,0.735871683,0.764975166,0.735873469,0.717332657,accuracy,XGBoost,All,multiclass
3,527.2036808,0.744066357,0.760311123,0.744066236,0.730085982,accuracy,XGBoost,All,multiclass
4,352.3056676,0.738936358,0.766109942,0.738932156,0.721343326,accuracy,XGBoost,All,multiclass
5,321.7037392,0.743624977,0.768311445,0.743620791,0.727243833,accuracy,XGBoost,All,multiclass
fold average,335.0615718,0.734224906,0.757411812,0.734224711,0.717066241,accuracy,XGBoost,All,multiclass
1,579.60114,0.741628428,0.768117992,0.741634188,0.72482241,accuracy,XGBoost,Correlation,multiclass
2,408.8860474,0.734380986,0.762225743,0.73438333,0.716567792,accuracy,XGBoost,Correlation,multiclass
3,715.3206198,0.741134929,0.755329172,0.741134718,0.728016256,accuracy,XGBoost,Correlation,multiclass
4,116.0940375,0.586468795,0.586455163,0.586462035,0.523021524,accuracy,XGBoost,Correlation,multiclass
5,933.9512761,0.741418078,0.75735747,0.741413861,0.726507502,accuracy,XGBoost,Correlation,multiclass
fold average,550.7706242,0.709006243,0.725897108,0.709005626,0.683787097,accuracy,XGBoost,Correlation,multiclass
1,144.5800543,0.73259271,0.760884524,0.732598653,0.710693967,accuracy,XGBoost,Mutual Information,multiclass
2,461.3159437,0.74101001,0.754776917,0.741013429,0.726455219,accuracy,XGBoost,Mutual Information,multiclass
3,584.4627042,0.737004281,0.756958715,0.73700398,0.720809316,accuracy,XGBoost,Mutual Information,multiclass
4,555.06901,0.739477673,0.749533931,0.739473695,0.726078794,accuracy,XGBoost,Mutual Information,multiclass
5,348.9699697,0.743341828,0.760000634,0.743337635,0.728530515,accuracy,XGBoost,Mutual Information,multiclass
fold average,418.8795364,0.7386853,0.756430944,0.738685478,0.722513562,accuracy,XGBoost,Mutual Information,multiclass
1,1202.085276,0.742810983,0.760882262,0.742816477,0.728004633,accuracy,XGBoost,RFE Sets,multiclass
2,732.6253803,0.740235514,0.764909551,0.74023872,0.72372626,accuracy,XGBoost,RFE Sets,multiclass
3,565.3561492,0.740402072,0.75695791,0.740401852,0.726284977,accuracy,XGBoost,RFE Sets,multiclass
4,292.1118648,0.734331018,0.762759535,0.734326747,0.715013252,accuracy,XGBoost,RFE Sets,multiclass
5,749.5807717,0.743116974,0.767030391,0.743112784,0.726661984,accuracy,XGBoost,RFE Sets,multiclass
fold average,708.3518885,0.740179312,0.76250793,0.740179316,0.723938221,accuracy,XGBoost,RFE Sets,multiclass
1,216.5958788,0.709116498,0.727964525,0.709122124,0.689187988,accuracy,XGBoost,PCA,multiclass
2,270.8508928,0.722263862,0.740613285,0.722266882,0.705139893,accuracy,XGBoost,PCA,multiclass
3,350.9588652,0.716217792,0.729961618,0.716218058,0.697902119,accuracy,XGBoost,PCA,multiclass
4,389.2981479,0.712628458,0.725808799,0.712623996,0.693367416,accuracy,XGBoost,PCA,multiclass
5,197.60747,0.717258782,0.735167341,0.717254624,0.69911919,accuracy,XGBoost,PCA,multiclass
fold average,285.0622509,0.715497078,0.731903114,0.715497137,0.696943321,accuracy,XGBoost,PCA,multiclass
1,226.74682,0.628011559,0.657986504,0.628018271,0.59981962,accuracy,Logistic Regression,All,multiclass
2,76.65714288,0.591498859,0.610764604,0.591502801,0.560186529,accuracy,Logistic Regression,All,multiclass
3,33.68934894,0.56014424,0.563972949,0.560144084,0.504372634,accuracy,Logistic Regression,All,multiclass
4,166.3971708,0.625718283,0.655045222,0.625712466,0.597794121,accuracy,Logistic Regression,All,multiclass
5,199.3729393,0.623669615,0.650211614,0.623667776,0.596489271,accuracy,Logistic Regression,All,multiclass
fold average,140.5726844,0.605808511,0.627596179,0.60580908,0.571732435,accuracy,Logistic Regression,All,multiclass
1,35.25435591,0.573389185,0.561357976,0.573395723,0.514711528,accuracy,Logistic Regression,Correlation,multiclass
2,72.83986664,0.581571978,0.600685068,0.581575466,0.541426447,accuracy,Logistic Regression,Correlation,multiclass
3,33.33029628,0.568488816,0.559094619,0.568488078,0.507075237,accuracy,Logistic Regression,Correlation,multiclass
4,35.15076423,0.569987841,0.556247203,0.569980887,0.508325174,accuracy,Logistic Regression,Correlation,multiclass
5,20.27582693,0.534052866,0.531427252,0.534049836,0.476343964,accuracy,Logistic Regression,Correlation,multiclass
fold average,39.370222,0.565498137,0.561762423,0.565497998,0.50957647,accuracy,Logistic Regression,Correlation,multiclass
1,191.7676134,0.626246055,0.658515361,0.626252862,0.597338152,accuracy,Logistic Regression,Mutual Information,multiclass
2,159.2676554,0.626109695,0.661993323,0.626111871,0.60158804,accuracy,Logistic Regression,Mutual Information,multiclass
3,169.8425364,0.624977098,0.659754254,0.624975198,0.596828047,accuracy,Logistic Regression,Mutual Information,multiclass
4,103.4268036,0.592839654,0.614535991,0.592833146,0.554774134,accuracy,Logistic Regression,Mutual Information,multiclass
5,39.10492063,0.582021686,0.596450176,0.582019527,0.542030122,accuracy,Logistic Regression,Mutual Information,multiclass
fold average,132.6819059,0.610438838,0.638249821,0.610438521,0.578511699,accuracy,Logistic Regression,Mutual Information,multiclass
1,17.3576324,0.543142431,0.590474904,0.543148209,0.484490197,accuracy,Logistic Regression,RFE Sets,multiclass
2,76.93668699,0.625035394,0.662772382,0.625038822,0.593392871,accuracy,Logistic Regression,RFE Sets,multiclass
3,119.9020541,0.627825247,0.665937162,0.62782322,0.597927929,accuracy,Logistic Regression,RFE Sets,multiclass
4,68.73651624,0.626467796,0.665366415,0.62646177,0.600118898,accuracy,Logistic Regression,RFE Sets,multiclass
5,134.4350457,0.628383218,0.667559235,0.62838128,0.596712721,accuracy,Logistic Regression,RFE Sets,multiclass
fold average,83.47358708,0.610170817,0.65042202,0.61017066,0.574528523,accuracy,Logistic Regression,RFE Sets,multiclass
1,20.98710036,0.290825207,0.220618893,0.290827393,0.212043177,accuracy,Logistic Regression,PCA,multiclass
2,15.93634176,0.288354236,0.218118873,0.288353679,0.20845318,accuracy,Logistic Regression,PCA,multiclass
3,21.53856182,0.28817935,0.222505719,0.288178546,0.210110413,accuracy,Logistic Regression,PCA,multiclass
4,19.63168287,0.287321574,0.220801909,0.287318019,0.208956033,accuracy,Logistic Regression,PCA,multiclass
5,15.36380363,0.28837922,0.210260121,0.288381993,0.206255981,accuracy,Logistic Regression,PCA,multiclass
fold average,18.69149809,0.288611918,0.218461103,0.288611926,0.209163757,accuracy,Logistic Regression,PCA,multiclass
1,341.2317872,0.625629794,0.697035297,0.625634185,0.587018145,accuracy,KNN,All,multiclass
2,161.2465532,0.660370759,0.709478703,0.660375828,0.625416024,accuracy,KNN,All,multiclass
3,145.9454255,0.659829444,0.704130617,0.659830199,0.628549677,accuracy,KNN,All,multiclass
4,134.5371771,0.643073669,0.689155898,0.643068081,0.604335745,accuracy,KNN,All,multiclass
5,350.6969812,0.646571395,0.695946345,0.646566058,0.607482414,accuracy,KNN,All,multiclass
fold average,226.7315848,0.647095012,0.699149372,0.64709487,0.610560401,accuracy,KNN,All,multiclass
1,216.340471,0.649597348,0.705807964,0.649602021,0.612814727,accuracy,KNN,Correlation,multiclass
2,138.9944932,0.624952114,0.685569958,0.624955945,0.592164829,accuracy,KNN,Correlation,multiclass
3,218.3986211,0.650585453,0.711760783,0.650586172,0.613957544,accuracy,KNN,Correlation,multiclass
4,139.2132413,0.617365379,0.688591615,0.617359262,0.581920958,accuracy,KNN,Correlation,multiclass
5,138.2421463,0.651701394,0.702110487,0.651696855,0.624509234,accuracy,KNN,Correlation,multiclass
fold average,170.2377946,0.638840338,0.698768161,0.638840051,0.605073458,accuracy,KNN,Correlation,multiclass
1,86.41346431,0.637830095,0.693143892,0.637835438,0.613004172,accuracy,KNN,Mutual Information,multiclass
2,92.73213053,0.656365029,0.697237041,0.656369036,0.627683033,accuracy,KNN,Mutual Information,multiclass
3,102.2856536,0.622953414,0.692305948,0.622954333,0.591331897,accuracy,KNN,Mutual Information,multiclass
4,124.4487813,0.635170473,0.689551188,0.635164767,0.610094411,accuracy,KNN,Mutual Information,multiclass
5,120.5980167,0.6331801,0.689722063,0.633176966,0.603074279,accuracy,KNN,Mutual Information,multiclass
fold average,105.2956093,0.637099822,0.692392026,0.637100108,0.609037558,accuracy,KNN,Mutual Information,multiclass
1,64.36332512,0.643293165,0.666740436,0.643293823,0.618111312,accuracy,KNN,PCA,multiclass
2,65.0149827,0.664992755,0.711773455,0.664995025,0.635085673,accuracy,KNN,PCA,multiclass
3,68.56354451,0.652367628,0.70304134,0.652369475,0.612312109,accuracy,KNN,PCA,multiclass
4,76.64530969,0.645438798,0.701795741,0.645433117,0.603254684,accuracy,KNN,PCA,multiclass
5,13.69598269,0.613801029,0.679462717,0.613798274,0.578594552,accuracy,KNN,PCA,multiclass
fold average,57.65662894,0.643978675,0.692562738,0.643977943,0.609471666,accuracy,KNN,PCA,multiclass
1,4.450973988,0.238134895,0.339931645,0.238135133,0.193299559,accuracy,Naive Bayes,All,multiclass
2,4.348928213,0.288004464,0.457463402,0.288004025,0.236582628,accuracy,Naive Bayes,All,multiclass
3,4.568665266,0.231791003,0.315305422,0.231794141,0.180162426,accuracy,Naive Bayes,All,multiclass
4,4.424892426,0.234281051,0.336995881,0.234284116,0.187936743,accuracy,Naive Bayes,All,multiclass
5,4.297773361,0.280909076,0.43472554,0.280909378,0.226431629,accuracy,Naive Bayes,All,multiclass
fold average,4.418246651,0.254624097,0.376884378,0.254625359,0.204882597,accuracy,Naive Bayes,All,multiclass
1,2.764844656,0.187451594,0.30960847,0.187450643,0.125016298,accuracy,Naive Bayes,Correlation,multiclass
2,2.697171211,0.188027782,0.31694772,0.188021968,0.120900977,accuracy,Naive Bayes,Correlation,multiclass
3,2.587689877,0.185662653,0.293906083,0.185665007,0.120243473,accuracy,Naive Bayes,Correlation,multiclass
4,2.756276846,0.188419194,0.321934453,0.188421432,0.124105876,accuracy,Naive Bayes,Correlation,multiclass
5,2.644113302,0.184638318,0.367928936,0.184641137,0.119757477,accuracy,Naive Bayes,Correlation,multiclass
fold average,2.690019178,0.186839908,0.322065132,0.186840037,0.12200482,accuracy,Naive Bayes,Correlation,multiclass
